Location,Menu_Item,Energy (KCAL),Protein (G),Total lipid(fat) (G),Carbohydrate (G),Fiber (G),Sodium (MG),Cholesterol (MG)
60,Cotton Candy,383.28,0.382,0.8136,96.74959999999999,0.0,7.2,0.0
108,Grilled Artichoke ,139.46666666666667,2.529333333333333,11.58666666666667,8.743333333333334,4.414285714285714,537.8666666666667,0.0
108,Chicken Street Tacos ,245.7391304347826,6.7565217391304335,8.014090909090909,35.910869565217396,3.1619047619047613,786.3478260869565,7.6
108,Potato Skins,254.75,6.92375,16.38875,19.955000000000002,2.125,407.375,20.75
85,Mixed Green Salad,103.0,0.64,8.97,5.13,1.3,128.0,0.0
125,Cotton Candy,383.28,0.382,0.8136,96.74959999999999,0.0,7.2,0.0
10,Mediterranean Greek Salad,149.44444444444446,5.716666666666666,7.901111111111111,15.700000000000001,3.1555555555555554,369.6666666666667,7.666666666666667
108,Margherita Pizza,229.91666666666666,10.854583333333332,9.622916666666667,25.675416666666663,1.856521739130435,533.875,17.59090909090909
85,Fettuccine Alfredo W Grilled Chicken,191.85,8.355500000000001,6.045999999999999,25.930500000000002,1.34,467.55,25.05
10,Buffalo Chicken Wings,192.92,9.514,11.746400000000001,12.574999999999996,1.1888888888888889,2055.96,48.142857142857146
108,French Fries,357.0,1.422,24.03,31.374000000000002,1.44,281.0,0.0
60,Mozzarella Sticks,316.8333333333333,14.165,15.906666666666666,28.731666666666666,0.7666666666666667,746.1666666666666,29.5
10,Fountain Drinks,166.5,0.0,0.0,41.665,0,458.5,0
108,Fettuccine Alfredo W Grilled Chicken,191.85,8.355500000000001,6.045999999999999,25.930500000000002,1.34,467.55,25.05
85,Soda,39.0,0.0,0.0,10.237894736842108,0.0,10.31578947368421,0.0
108,Mac Cheese with Ham,131.0,6.05,5.54,13.85,0.5,390.0,19.0
85,Mac Cheese with Ham,131.0,6.05,5.54,13.85,0.5,390.0,19.0
108,Add a Topping to Your Large Pizza for ,67.0,3.59,2.155,18.375,1.9,4548.5,14.0
85,Filet Mignon Stroganoff,268.3333333333333,24.72666666666667,16.189999999999998,5.67375,0.6,313.22222222222223,77.55555555555556
125,Mozzarella Sticks,316.8333333333333,14.165,15.906666666666666,28.731666666666666,0.7666666666666667,746.1666666666666,29.5
85,Double Cut Pork Chop ,164.44444444444446,19.226666666666667,8.915,0.6577777777777777,0.1,268.8333333333333,60.44444444444444
108,Kobe Sliders,289.0,17.5,23.395,0.0,0.0,54.5,71.0
10,Southwestern Wrap ,188.0,10.59,6.67,21.18,3.1,596.0,18.0
85,Club Sandwich,414.85714285714283,8.95,19.595714285714287,50.645714285714284,1.9428571428571428,757.4285714285714,9.428571428571429
10,Pulled Pork Sandwich,199.8,13.756000000000002,7.824799999999999,19.542916666666667,1.608695652173913,1098.52,43.76
