Restaurant Name,Original Menu Item,Matched food Item,Match Score,Energy (KCAL),Protein (G),Total lipid(fat) (G),Carbohydrate (G),Fiber (G),Sodium (MG),Cholesterol (MG)
The Misfit Restaurant + Bar,Brussels Sprouts,"['BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS', 'BRUSSELS SPROUTS']",1099.7089000000005,46.76,3.4324,0.07083333333333333,8.8384,3.5,21.64,0.0
Tocaya Organica,Corn Tortilla,"['CORN TORTILLA', 'CORN TORTILLA', 'CORN TORTILLA', 'CORN TORTILLA', 'CORN TORTILLA', 'CORN TORTILLA', 'CORN TORTILLAS, CORN', 'CORN TORTILLAS, CORN', 'CORN TORTILLAS, CORN', 'CORN TORTILLAS, CORN', 'CORN TORTILLAS, CORN', 'CORN TORTILLAS, CORN', 'CORN TORTILLAS, CORN', 'CORN TORTILLAS, CORN', 'CORN TORTILLAS', 'CORN TORTILLAS', 'CORN TORTILLAS', 'CORN TORTILLAS', 'CORN TORTILLAS', 'CORN TORTILLAS', 'CORN TORTILLAS', 'CORN TORTILLAS', 'CORN TORTILLAS', 'CORN TORTILLAS', 'CORN TORTILLAS']",201.7487968,225.24,5.244400000000001,2.4595833333333337,46.9244,4.716,4596.454545454545,0.0
The Ivy,Classic Spaghetti and Meatballs,"['SPAGHETTI & MEATBALLS', 'SPAGHETTI & MEATBALLS', 'SPAGHETTI & MEATBALLS', 'SPAGHETTI & MEATBALLS', 'SPAGHETTI & MEATBALLS', 'SPAGHETTI & MEATBALLS', 'SPAGHETTI & MEATBALLS', 'SPAGHETTI & MEATBALLS', 'SPAGHETTI & MEATBALLS', 'SPAGHETTI & MEATBALLS', 'SPAGHETTI AND MEATBALLS', 'SPAGHETTI AND MEATBALLS', 'SPAGHETTI AND MEATBALLS', 'SPAGHETTI WITH MEATBALLS', 'SPAGHETTI WITH MEATBALLS', 'SPAGHETTI WITH MEATBALLS', 'SPAGHETTI WITH MEATBALLS', 'SPAGHETTI & MEATBALLS IN TOMATO SAUCE, SPAGHETTI & MEATBALLS', 'CLASSIC ITALIAN MEATBALLS WITH SPAGHETTI AND MARINARA SAUCE', 'CLASSIC ITALIAN MEATBALLS WITH SPAGHETTI AND MARINARA SAUCE', 'PREMIUM SPAGHETTI AND MEATBALLS IN TOMATO SAUCE, SPAGHETTI AND MEATBALLS', 'SPAGHETTI WITH MEATBALLS FRESHLY MADE SPAGHETTI TOSSED WITH MEATBALLS IN A SEASONED TOMATO SAUCE, SPAGHETTI WITH MEATBALLS', 'JUMBO SPAGHETTI & MEATBALLS', ""LIBBY'S, SPAGHETTI & MEATBALLS"", 'MARINARA, MEATBALLS AND SPAGHETTI']",127.91569139999997,131.12,5.910799999999998,4.574400000000001,16.606399999999997,1.544,310.32,12.28
The Original Pantry,Potatoes,"['POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATOES', 'POTATO BREAD, POTATO', 'POTATO BREAD, POTATO', 'POTATO BREAD, POTATO', 'POTATO BREAD, POTATO', 'POTATO CRISPS, POTATO', 'POTATO GNOCCHI, POTATO', 'POTATO GNOCCHI, POTATO', 'POTATO GNOCCHI, POTATO', 'POTATO GNOCCHI, POTATO']",262.25304599999987,142.875,3.8925000000000005,0.7404761904761905,30.535833333333333,1.895833333333333,304.4347826086956,0.0
The Misfit Restaurant + Bar,Lieu Dit Melon De Bourgogne Santa Maria,"['REGAL DE BOURGOGNE PAPAYA', 'REGAL DE BOURGOGNE STRAWBERRY/BLUEBERRY', 'ORGANIC SANTA MARIA MARINADE', 'SANTA MARIA ROAST RUB', 'SANTA MARIA STYLE SEASONING', 'SANTA MARIA STYLE SEASONING', 'SANTA MARIA STYLE SEASONING', 'ORIGINAL SANTA MARIA STYLE SEASONING', 'SANTA MARIA BBQ RUB & SPICE', 'SANTA MARIA INSPIRED PORK ROAST', 'SANTA MARIA TRI TIP SEASONING', 'AGUA FRESCA DE MELON', 'TRADITION BOURGOGNE', 'ORIGINAL SANTA MARIA VALLEY STYLE SALSA', 'SANTA MARIA STYLE SEASONING ARTISAN FOODS', 'MOGU MOGU, MELON FLAVORED DRINK WITH NATA DE COCO, MELON', 'WHOLE FOODS MARKET, ORGANIC SANTA MARIA GRILL COOKING SEASONING', 'MARIA BISCUITS', 'MARIA COOKIES', 'MARIA COOKIES', 'MARIA COOKIES', 'MARIA COOKIES', 'MARIA COOKIES', 'MARIA COOKIES', 'MARIA COOKIES']",86.2707174,218.28,4.1668,7.645999999999999,33.5508,1.325,8303.24,23.125
The Ivy,Igo Private Label Red Blend Dunnigan Hills,"['RED LABEL TEA', 'RED LABEL TEA', 'KEEBLER SPECIALTY PRIVATE LABEL 400OZ 1CT', 'MEIJER PRIVATE LABEL COOKIES BUTTER 9OZ', 'RED LABEL SPECIAL RECIPES', 'Keebler Private Label Crackers Original 4oz 50ct', 'KEEBLER PROCESSOR PRIVATE LABEL WHEAT .59OZ 1CT', 'PFG PRIVATE LABEL COOKIES HOLIDAY SUGAR 9OZ', 'Winn Dixie Private Label Crusts Graham 6oz', 'Winn Dixie Private Label Crusts Graham 9oz', 'Keebler Foodservice Private Label Crackers Low Salt .2oz', 'Keebler Processor Private Label Crackers Butter 336oz 1ct', 'Keebler Processor Private Label Crackers Butter 368oz 1ct', 'Keebler Processor Private Label Crackers Wheat .2oz 300ct', 'Keebler Processor Private Label Crackers Wheat .59oz 408ct', 'Keebler Processor Private Label Crackers Wheat 289.6oz 1ct', 'Sunshine Foodservice Private Label Crackers Harvest Mill Wheat .25oz', 'RED LABEL LOOSE LEAF BLACK TEA', 'PRIVATE SELECTION, FROZEN RED RASPBERRIES', 'PRIVATE SELECTION, ROOIBOS RED TEA', 'PRIVATE SELECTION, TRIPLE BERRY BLEND', 'PRIVATE SELECTION, ROASTED RED PEPPER HUMMUS', 'PRIVATE SELECTION, SHREDDED PICANTE CHEESE BLEND', 'PRIVATE SELECTION, SMOOTHIE BLEND, VERY BERRY', 'RED HILLS FRUIT COMPANY, BLUEBERRIES IN LIGHT SYRUP']",27.76566343999999,298.2916666666667,5.1612,12.1372,43.59439999999999,3.3,398.96,5.2
The Ivy,Monticello Vineyards Jefferson Cuvee Napa Valley ,"['NAPA VALLEY SPINACH SALAD', 'NAPA VALLEY HOMEMADE SPICY MARINARA', 'NAPA VALLEY NATURALS, CANOLA OIL', 'OLIVIER NAPA VALLEY, CHARCUTERIE MUSTARD', 'NAPA VALLEY NATURALS, BALSAMIC VINEGAR, FIG', 'NAPA VALLEY EXTRA VIRGIN OLIVE OIL', 'NAPA VALLEY KENTUCKY BOURBON GRILL SAUCE', 'NAPA VALLEY NATURALS, ORGANIC BALSAMIC VINEGAR', 'NAPA VALLEY, BARREL-AGED BALSAMIC VINEGAR', 'RAISIN  VINEYARD', 'VINEYARD DRESSING', 'VINEYARD DRESSING', 'VINEYARD DRESSING', 'VINEYARD DRESSING', 'VINEYARD DRESSING', 'MEZZETTA, NAPA VALLEY BISTRO GARLIC STUFFED OLIVES', 'NAPA VALLEY NATURALS, SAFFLOWER OIL, EXPELLER PRESSED', 'NAPA VALLEY PARMESAN, ASIAGO & ROMANO PASTA SAUCE', 'NAPA VALLEY NATURALS, ORGANIC EXTRA VIRGIN OLIVE OIL', 'NAPA VALLEY NATURALS, PINOT NOIR RESERVE WINE VINEGAR', 'NAPA VALLEY VINEGAR CO., TRUFFLE INFUSED OIL BLEND', 'NAPA CABBAGE', 'NAPA KIMCHI', 'NAPA SNACKER', 'ASIAN NAPA SALAD DRESSING, ASIAN NAPA']",26.50256416,311.0833333333333,1.6321739130434783,30.36565217391305,12.804782608695652,0.7357142857142858,448.0869565217391,3.466666666666667
The Rose Venice,Cilantro Lime Rice,"['CILANTRO LIME RICE', 'CILANTRO LIME RICE', 'CILANTRO & LIME JASMINE RICE, CILANTRO & LIME', 'LIME CILANTRO RICE', 'CILANTRO LIME RICE WITH ZESTY CILANTRO LIME SEASONING, CILANTRO LIME', 'CILANTRO LIME SEASONED BASMATI RICE, CILANTRO LIME', 'CILANTRO LIME LONG GRAIN RICE WITH LIME & SPICES, CILANTRO LIME', 'CILANTRO LIME BASMATI RICE', 'CILANTRO LIME ORGANIC RICE & SEASONING MIX, CILANTRO LIME', 'CILANTRO LIME DRESSING WITH CILANTRO AND LIME JUICES, CILANTRO LIME', 'CILANTRO LIME A BLEND OF LENTILS, CHICKPEAS, PEAS + RICE, CILANTRO LIME', 'CILANTRO LIME CHICKEN, CILANTRO LIME', 'CILANTRO LIME CHICKEN, CILANTRO LIME', 'CILANTRO LIME MARINADE, CILANTRO LIME', 'CILANTRO LIME RANCH, CILANTRO LIME', 'BASMATI RICE, ZESTY LIME CILANTRO', 'BLACK BEANS & CILANTRO LIME RICE', 'CILANTRO LIME FLAVORED WHOLE GRAIN BLENDS RICE & QUINOA, CILANTRO LIME', 'CILANTRO LIME DRY RICE MIX WITH SWEET CORN & GREEN ONIONS, CILANTRO LIME', 'MEXICAN STYLE CHICKEN WITH CILANTRO LIME RICE', 'AVOCADO, CILANTRO & LIME CRACKERS, AVOCADO, CILANTRO & LIME', 'CILANTRO LIME RANCH DRESSING, CILANTRO LIME RANCH', 'CILANTRO LIME SALT-FREE SEASONING, CILANTRO LIME', 'CREAMY CILANTRO LIME DRESSING, CREAMY CILANTRO LIME', 'LIME CILANTRO FLAVORED HOISIN SAUCE, LIME CILANTRO']",276.2221184,296.72,6.1344,9.370833333333334,45.8084,2.3850000000000007,622.76,9.11111111111111
The Original Pantry,Chocolate Cake,"['CHOCOLATE CAKE', 'CHOCOLATE CAKE', 'CHOCOLATE CAKE', 'CHOCOLATE CAKE', 'CHOCOLATE CAKE', 'CHOCOLATE CAKE', 'CHOCOLATE CAKE', 'CHOCOLATE CAKE', 'CHOCOLATE CAKE PROTEIN CAKES, CHOCOLATE CAKE', 'CHOCOLATE CAKE CHOCOLATE SPONGE CAKE WITH CREAMY FILLING, CHOCOLATE CAKE', 'CHOCOLATE CAKE, CHOCOLATE', 'CHOCOLATE CAKE, CHOCOLATE', 'CHOCOLATE CAKE, CHOCOLATE', 'CHOCOLATE CAKE, CHOCOLATE', 'CAKE, CHOCOLATE', 'CAKE, CHOCOLATE', 'PROTEIN CAKES, CHOCOLATE CAKE', 'CHOCOLATE CAKE MACADAMIA BUTTER, CHOCOLATE CAKE', 'CHOCOLATE CAKE WITH CREAMY FILLING, CHOCOLATE CAKE', 'CHOCOLATE CAKE WITH CREAMY FILLING, CHOCOLATE CAKE', 'CHOCOLATE CAKE WITH CREAMY FILLING, CHOCOLATE CAKE', 'CHOCOLATE CAKE WITH CREAMY FILLING, CHOCOLATE CAKE', 'CHOCOLATE CAKE WITH CREAMY FILLING, CHOCOLATE CAKE', 'CHOCOLATE CAKE WITH CREAMY FILLING, CHOCOLATE CAKE', 'CHOCOLATE CAKE WITH CREAMY FILLING, CHOCOLATE CAKE']",153.00720839999997,413.7916666666667,5.954583333333331,19.433750000000003,55.452916666666674,2.0909090909090904,328.1666666666667,20.583333333333332
The Original Pantry,Tuna Salad,"['TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD', 'TUNA SALAD, TUNA', 'TUNA SALAD, TUNA', 'TUNA SALAD, TUNA']",893.8916435999998,224.24,12.364,16.502399999999998,6.526800000000001,0.5434782608695652,407.56,40.88
